Supply Chain Dynamics,media/course/image/ed927a1a-4a95-415b-a865-c3d722ac549c-281fc716eb81.jpg,8500D5F,299,course-v1:MITx+CTL.SC3x+3T2020,MITx+CTL.SC3x,MITx
Supply Chain Technology and Systems,media/course/image/6513ed9c-112a-4951-82ad-7036cbe52831-be94ecd2a8f8.jpg,E263050,299,course-v1:MITx+CTL.SC4x+2T2020,MITx+CTL.SC4x,MITx
AP® Calculus: Challenging Concepts from Calculus AB & Calculus BC,media/course/image/e50e8dd7-af7f-409f-a892-ff0290be4cfa-91b508a0ddb0.png,27EB505,49,course-v1:DavidsonNext+Cal_APccx+2T2019,DavidsonNext+Cal_APccx,DavidsonNext
Circular Economy: An Introduction,media/course/image/02d007b2-609c-4526-af7e-f9962458aaa8-2140229848ce.png,AC66C3D,50,course-v1:Delftx+CircularX+1T2020a,Delftx+CircularX,Delftx
Think. Create. Code.,media/course/image/2ea5f8f5-70e0-41ae-91a6-e038cc2c0de0-b57210080b03.jpg,F03831A,50,course-v1:AdelaideX+Code101x+1T2017,AdelaideX+Code101x,AdelaideX
How to Write an Essay,media/course/image/cb5cc730-9600-4909-a4b6-abef7a5e2647-8d65bb5f26cb.jpg,81FE29C,49,course-v1:BerkeleyX+ColWri2.1x+1T2020,BerkeleyX+ColWri2.1x,BerkeleyX
Academic and Business Writing,media/course/image/ed682cf1-7c11-4417-ac78-e940843cfccc-bb93707c5457.jpg,9D44A40,49,course-v1:BerkeleyX+ColWri2.2x+1T2020,BerkeleyX+ColWri2.2x,BerkeleyX
Tsunamis and Storm Surges: Introduction to Coastal Disasters,media/course/image/1847c064-41c8-4aec-9dd4-6f86a86b6e78-0f49f0cf79e1.jpg,C0140D5,49,course-v1:WasedaX+CosDis101x+1T2020,WasedaX+CosDis101x,WasedaX
The Psychology of Criminal Justice,media/course/image/479e2d74-9414-4939-9e52-937cf1685720-d9059a4a1186.jpg,78D2930,99,course-v1:UQx+Crime101x+1T2020,UQx+Crime101x,UQx
Medicinal Chemistry: The Molecular Basis of Drug Discovery,media/course/image/babef812-bef4-4daf-96a9-226d044ebf3c-3a0b70b1ef03.jpg,F04F182,49,course-v1:DavidsonX+D001x+3T2018,DavidsonX+D001x,DavidsonX
Introduction to Data Science,media/course/image/bbe65cbf-e7d1-498f-86e8-f997629f5482-f0dd065d9233.jpg,6C3D195,99,course-v1:Microsoft+DAT101x+1T2020a,Microsoft+DAT101x,Microsoft
